Date,Close
26-Jun-17,972.09
23-Jun-17,986.09
22-Jun-17,976.62
21-Jun-17,978.59
20-Jun-17,968.99
19-Jun-17,975.22
16-Jun-17,958.62
15-Jun-17,960.18
14-Jun-17,967.93
13-Jun-17,970.5
12-Jun-17,961.81
9-Jun-17,970.12
8-Jun-17,1004.28
7-Jun-17,1001.59
6-Jun-17,996.68
5-Jun-17,1003.88
2-Jun-17,996.12
1-Jun-17,988.29
31-May-17,987.09
30-May-17,996.17
26-May-17,993.27
25-May-17,991.86
24-May-17,977.61
23-May-17,970.55
22-May-17,964.07
19-May-17,954.65
18-May-17,950.5
17-May-17,942.17
16-May-17,964.61
15-May-17,959.22
12-May-17,955.14
11-May-17,955.89
10-May-17,954.84
9-May-17,956.71
8-May-17,958.69
5-May-17,950.28
4-May-17,954.72
3-May-17,948.45
2-May-17,937.09
1-May-17,932.82
28-Apr-17,924.52
27-Apr-17,891.44
26-Apr-17,889.14
25-Apr-17,888.84
24-Apr-17,878.93
21-Apr-17,858.95
20-Apr-17,860.08
19-Apr-17,856.51
18-Apr-17,853.99
17-Apr-17,855.13
13-Apr-17,840.18
12-Apr-17,841.46
11-Apr-17,839.88
10-Apr-17,841.7
7-Apr-17,842.1
6-Apr-17,845.1
5-Apr-17,848.91
4-Apr-17,852.57
3-Apr-17,856.75
31-Mar-17,847.8
30-Mar-17,849.48
29-Mar-17,849.87
28-Mar-17,840.63
27-Mar-17,838.51
24-Mar-17,835.14
23-Mar-17,839.65
22-Mar-17,849.8
21-Mar-17,850.14
20-Mar-17,867.91
17-Mar-17,872.37
16-Mar-17,870
15-Mar-17,868.39
14-Mar-17,865.91
13-Mar-17,864.58
10-Mar-17,861.4
9-Mar-17,857.84
8-Mar-17,853.64
7-Mar-17,851.15
6-Mar-17,847.27
3-Mar-17,849.08
2-Mar-17,849.85
1-Mar-17,856.75
28-Feb-17,844.93
27-Feb-17,849.67
24-Feb-17,847.81
23-Feb-17,851
22-Feb-17,851.36
21-Feb-17,849.27
17-Feb-17,846.55
16-Feb-17,842.17
15-Feb-17,837.32
14-Feb-17,840.03
13-Feb-17,838.96
10-Feb-17,834.85
9-Feb-17,830.06
8-Feb-17,829.88
7-Feb-17,829.23
6-Feb-17,821.62
3-Feb-17,820.13
2-Feb-17,818.26
1-Feb-17,815.24
31-Jan-17,820.19
30-Jan-17,823.83
27-Jan-17,845.03
26-Jan-17,856.98
25-Jan-17,858.45
24-Jan-17,849.53
23-Jan-17,844.43
20-Jan-17,828.17
19-Jan-17,824.37
18-Jan-17,829.02
17-Jan-17,827.46
13-Jan-17,830.94
12-Jan-17,829.53
11-Jan-17,829.86
10-Jan-17,826.01
9-Jan-17,827.18
6-Jan-17,825.21
5-Jan-17,813.02
4-Jan-17,807.77
3-Jan-17,808.01
30-Dec-16,792.45
29-Dec-16,802.88
28-Dec-16,804.57
27-Dec-16,809.93
23-Dec-16,807.8
22-Dec-16,809.68
21-Dec-16,812.2
20-Dec-16,815.2
19-Dec-16,812.5
16-Dec-16,809.84
15-Dec-16,815.65
14-Dec-16,817.89
13-Dec-16,815.34
12-Dec-16,807.9
9-Dec-16,809.45
